file_name,title,scheme,organization,document_type,document_date,effective_date,source_url,source_id
Fund Facts - HDFC TaxSaver Fund_July 26.pdf,Fund Facts   HDFC TaxSaver Fund July 26 (FACTSHEET),HDFC ELSS Tax Saver Fund,HDFC Mutual Fund,FACTSHEET,2026-07-01,,https://www.hdfcfund.com/explore/mutual-funds/hdfc-elss-tax-saver/direct,
HDFCTS_1786689291.pdf,HDFCTS 1786689291 (OTHER),HDFC ELSS Tax Saver Fund,HDFC Mutual Fund,OTHER,,,https://www.hdfcfund.com/explore/mutual-funds/hdfc-elss-tax-saver/direct,
KIM - HDFC ELSS Tax Saver dated November 21 2025_0.pdf,"KIM   HDFC ELSS Tax Saver dated November 21, 2025 0 (KIM)",HDFC ELSS Tax Saver Fund,HDFC Mutual Fund,KIM,2025-11-21,,https://www.hdfcfund.com/explore/mutual-funds/hdfc-elss-tax-saver/direct,
latestNAV_Reports (3).xlsx,latestNAV Reports (3) (NAV_DATA),HDFC ELSS Tax Saver Fund,HDFC Mutual Fund,NAV_DATA,,,https://www.hdfcfund.com/explore/mutual-funds/hdfc-elss-tax-saver/direct,
SID - HDFC ELSS Tax Saver dated November 21 2025.pdf,"SID   HDFC ELSS Tax Saver dated November 21, 2025 (SID)",HDFC ELSS Tax Saver Fund,HDFC Mutual Fund,SID,2025-11-21,,https://www.hdfcfund.com/explore/mutual-funds/hdfc-elss-tax-saver/direct,
Fund Facts - HDFC Flexi Cap Fund_July 26.pdf,Fund Facts   HDFC Flexi Cap Fund July 26 (FACTSHEET),HDFC FlexiCap Fund,HDFC Mutual Fund,FACTSHEET,2026-07-01,,https://www.hdfcfund.com/explore/mutual-funds/hdfc-flexi-cap-fund/direct,
HDFC Flexi Cap Fund-Presentation (July 2026).pdf,HDFC Flexi Cap Fund Presentation (July 2026) (PRESENTATION),HDFC FlexiCap Fund,HDFC Mutual Fund,PRESENTATION,2026-07-01,,https://www.hdfcfund.com/explore/mutual-funds/hdfc-flexi-cap-fund/direct,
HDFCEQ_1786689286.pdf,HDFCEQ 1786689286 (OTHER),HDFC FlexiCap Fund,HDFC Mutual Fund,OTHER,,,https://www.hdfcfund.com/explore/mutual-funds/hdfc-flexi-cap-fund/direct,
KIM - HDFC Flexi Cap Fund dated November 21 2025_1.pdf,"KIM   HDFC Flexi Cap Fund dated November 21, 2025 1 (KIM)",HDFC FlexiCap Fund,HDFC Mutual Fund,KIM,2025-11-21,,https://www.hdfcfund.com/explore/mutual-funds/hdfc-flexi-cap-fund/direct,
latestNAV_Reports.xlsx,latestNAV Reports (NAV_DATA),HDFC FlexiCap Fund,HDFC Mutual Fund,NAV_DATA,,,https://www.hdfcfund.com/explore/mutual-funds/hdfc-flexi-cap-fund/direct,
Leaflet-HDFC Flexi Cap Fund-May 2026.pdf,Leaflet HDFC Flexi Cap Fund May 2026 (LEAFLET),HDFC FlexiCap Fund,HDFC Mutual Fund,LEAFLET,2026-05-01,,https://www.hdfcfund.com/explore/mutual-funds/hdfc-flexi-cap-fund/direct,
SID - HDFC Flexi Cap Fund dated November 21 2025_0.pdf,"SID   HDFC Flexi Cap Fund dated November 21, 2025 0 (SID)",HDFC FlexiCap Fund,HDFC Mutual Fund,SID,2025-11-21,,https://www.hdfcfund.com/explore/mutual-funds/hdfc-flexi-cap-fund/direct,
HDFC average aum- AMFI.xlsx,HDFC average aum  AMFI (AUM_DATA),,AMFI,AUM_DATA,,,https://www.amfiindia.com,
Fund Facts - HDFC Large and Mid Cap Fund_July 26.pdf,Fund Facts   HDFC Large and Mid Cap Fund July 26 (FACTSHEET),HDFC Large and Mid Cap Fund,HDFC Mutual Fund,FACTSHEET,2026-07-01,,https://www.hdfcfund.com/explore/mutual-funds/hdfc-large-and-mid-cap-fund/direct,
HDFCLARGEF_1786689288.pdf,HDFCLARGEF 1786689288 (OTHER),HDFC Large and Mid Cap Fund,HDFC Mutual Fund,OTHER,,,https://www.hdfcfund.com/explore/mutual-funds/hdfc-large-and-mid-cap-fund/direct,
KIM - HDFC Large and Mid Cap Fund dated November 21 2025_1.pdf,"KIM   HDFC Large and Mid Cap Fund dated November 21, 2025 1 (KIM)",HDFC Large and Mid Cap Fund,HDFC Mutual Fund,KIM,2025-11-21,,https://www.hdfcfund.com/explore/mutual-funds/hdfc-large-and-mid-cap-fund/direct,
latestNAV_Reports (2).xlsx,latestNAV Reports (2) (NAV_DATA),HDFC Large and Mid Cap Fund,HDFC Mutual Fund,NAV_DATA,,,https://www.hdfcfund.com/explore/mutual-funds/hdfc-large-and-mid-cap-fund/direct,
SID - HDFC Large and Mid Cap Fund dated November 21 2025_0.pdf,"SID   HDFC Large and Mid Cap Fund dated November 21, 2025 0 (SID)",HDFC Large and Mid Cap Fund,HDFC Mutual Fund,SID,2025-11-21,,https://www.hdfcfund.com/explore/mutual-funds/hdfc-large-and-mid-cap-fund/direct,
Fund Facts - HDFC NIFTY 50 Index Fund_Aug 26.pdf,Fund Facts   HDFC NIFTY 50 Index Fund Aug 26 (FACTSHEET),HDFC Index Fund - Nifty 50 Plan,HDFC Mutual Fund,FACTSHEET,2026-08-01,,https://www.hdfcfund.com/explore/mutual-funds/hdfc-nifty-50-index-fund/direct,
HDFCNY_1786689287.pdf,HDFCNY 1786689287 (OTHER),HDFC Index Fund - Nifty 50 Plan,HDFC Mutual Fund,OTHER,,,https://www.hdfcfund.com/explore/mutual-funds/hdfc-nifty-50-index-fund/direct,
KIM - HDFC Nifty 50 Index Fund dated November 21 2025.pdf,"KIM   HDFC Nifty 50 Index Fund dated November 21, 2025 (KIM)",HDFC Index Fund - Nifty 50 Plan,HDFC Mutual Fund,KIM,2025-11-21,,https://www.hdfcfund.com/explore/mutual-funds/hdfc-nifty-50-index-fund/direct,
latestNAV_Reports (4).xlsx,latestNAV Reports (4) (NAV_DATA),HDFC Index Fund - Nifty 50 Plan,HDFC Mutual Fund,NAV_DATA,,,https://www.hdfcfund.com/explore/mutual-funds/hdfc-nifty-50-index-fund/direct,
Leaflet- HDFC Nifty 50 ETF and HDFC Nifty 50 Index Fund (April 2026).pdf,Leaflet  HDFC Nifty 50 ETF and HDFC Nifty 50 Index Fund (April 2026) (LEAFLET),HDFC Index Fund - Nifty 50 Plan,HDFC Mutual Fund,LEAFLET,2026-04-01,,https://www.hdfcfund.com/explore/mutual-funds/hdfc-nifty-50-index-fund/direct,
SID - HDFC Nifty 50 Index Fund dated November 21 2025.pdf,"SID   HDFC Nifty 50 Index Fund dated November 21, 2025 (SID)",HDFC Index Fund - Nifty 50 Plan,HDFC Mutual Fund,SID,2025-11-21,,https://www.hdfcfund.com/explore/mutual-funds/hdfc-nifty-50-index-fund/direct,
SEBI MF FAQs.pdf,SEBI MF FAQs (FAQ_DATASET),,SEBI,FAQ_DATASET,,,https://www.sebi.gov.in,
Fund Facts - HDFC Small Cap Fund_July 26.pdf,Fund Facts   HDFC Small Cap Fund July 26 (FACTSHEET),HDFC Small Cap Fund,HDFC Mutual Fund,FACTSHEET,2026-07-01,,https://www.hdfcfund.com/explore/mutual-funds/hdfc-small-cap-fund/direct,
HDFCSMALLF_1786689291.pdf,HDFCSMALLF 1786689291 (OTHER),HDFC Small Cap Fund,HDFC Mutual Fund,OTHER,,,https://www.hdfcfund.com/explore/mutual-funds/hdfc-small-cap-fund/direct,
KIM - HDFC Small Cap Fund dated November 21 2025_0.pdf,"KIM   HDFC Small Cap Fund dated November 21, 2025 0 (KIM)",HDFC Small Cap Fund,HDFC Mutual Fund,KIM,2025-11-21,,https://www.hdfcfund.com/explore/mutual-funds/hdfc-small-cap-fund/direct,
latestNAV_Reports (1).xlsx,latestNAV Reports (1) (NAV_DATA),HDFC Small Cap Fund,HDFC Mutual Fund,NAV_DATA,,,https://www.hdfcfund.com/explore/mutual-funds/hdfc-small-cap-fund/direct,
SID - HDFC Small Cap Fund dated November 21 2025_0.pdf,"SID   HDFC Small Cap Fund dated November 21, 2025 0 (SID)",HDFC Small Cap Fund,HDFC Mutual Fund,SID,2025-11-21,,https://www.hdfcfund.com/explore/mutual-funds/hdfc-small-cap-fund/direct,
HDFCMF_SCHEMES_TER_23-08-2026.xls,HDFC Mutual Fund TER Report 2026-08-23 (TER_DATA),,HDFC Mutual Fund,TER_DATA,2026-08-23,,https://www.hdfcfund.com/statutory-disclosure/total-expense-ratio-of-mutual-fund-schemes/reports,
HDFC_Capital_Gains_Blog_2026-08-27.txt,How to Get Capital Gain Statement for Mutual Funds,,HDFC Mutual Fund,OTHER,2026-08-27,,https://www.hdfcfund.com/learn/blog/how-get-capital-gain-statement-mutual-fund-schemes-india,
"Annual Disclosure of Riskometers - HDFC MF - as at March 31, 2026 - Final.pdf","Annual Disclosure of Riskometers - HDFC MF - as at March 31, 2026 - Final","","HDFC Mutual Fund","OTHER","2026-03-31","","https://www.hdfcfund.com/statutory-disclosure/riskometers",""
